Artist,Album,Song,Year
Dan Patlansky,Perfection Kills,Dog Day,2018
"Dance, You're On Fire",Light Repeating,Speak To Me,2012
Dans Dans Lisa,Die Gids vir Grootword,My Ek(kuus),2010
David Kramer,Jis Jis Jis,Royal Hotel,1983
David Kramer,Eina,Meisie Sonder Sokkies,1989
David van Vuuren,The Raging Sea,The Forgotten Love,2014
David's Confession,About Time,The Machine,1999
Ddisselblom,Bang,Moervrou,2003
Deon Bakkes and the Stolen Horses,Neither Here Nor There,It Ain't Necessarily So,2017
Dear Reader,Replace Why With Funny,Dearheart,2008
Dear Reader,Rivonia,"Down Under,Mining",2013
December Streets,This Is,Fire Through the Window,2012
Deity's Muse,Convergence,Walls Down,2016
Deity's Muse,New Trends In Slavery,Poles Apart,2010
Delta Blue,Inbluesstation,Milk Cow Blues,2009
Derek Gripper,A Year Of Swimming,I Like The Motorcar,2020
Desmond & The Tutus,Enjoy Yourself,Pretoria Girls,2015
Desmond & The Tutus,Mnusic,Tattoo,2012
Desmond & The Tutus,Tuckshop,Peter,2008
Diamond Thug,Apastron,Sapphire,2018
Die Antwoord,Ten$ion,I Fink You Freaky,2012
Die Antwoord,$o$,Enter the Ninja,2009
Die Helde,n Eeue Oue Melodie,Jy Moet Luiser,2007
Die Heuwels Fantasties,Die Heuwels Fantasties,Oorlewing 101,2009
Die Heuwels Fantasties,Ja.Nee. Lekker,Ballade vir 'n Enkeling,2014
Die Kaalkop Waarheid,Woestyn se Rivier,Kruise Langs die Pad,2008
Die Melktert Kommissie,Wonderwoorde,Proudly South African,2006
Die Melktert Kommissie,Vergewe en Vergeet,Pronk,2007
Die See,Die See II,Vriende en Familie,2013
Die Tuindwergies,Die Tuindwergies,Kopskudkinders,2010
Diesel Whores,The Fear,Cocaine,2003
Dirty Skirts,Daddy Don't Disco,Daddy Don't Disco,2008
DNA Strings,El nino,El Nino,2003
DNA Strings,Nomad,Amakhosi,2005
Dog Detachment,The Last Laught,The Last Laugh,1983
Dorp,Humans Being,London Out There,2008
Dorp,Danger Gevaar Ingozi,Tinkerbell,1998
Drain,?,?,?
